Name
Bench Press
Squat
Deadlift
Overhead Press
Barbell Row
Pull-Up
Chin-Up
Push-Up
Dumbbell Fly
Incline Bench Press
Decline Bench Press
Leg Press
Lunge
Bulgarian Split Squat
Leg Extension
Leg Curl
Calf Raise
Hip Thrust
Glute Bridge
Lat Pulldown
Seated Row
Face Pull
Arnold Press
Lateral Raise
Front Raise
Tricep Dip
Tricep Extension
Bicep Curl
Hammer Curl
Preacher Curl
Skullcrusher
Cable Fly
Cable Row
Reverse Fly
Shrug
Farmer's Walk
Russian Twist
Plank
Hanging Leg Raise
Crunch
Cable Crunch
Upright Row
Clean and Press
Power Clean
Snatch
Hang Clean
Push Jerk
Push Press
Sumo Deadlift
Sumo Deadlift High Pull
Trap Bar Deadlift
Romanian Deadlift
Stiff-Legged Deadlift
Good Morning
Zercher Squat
Hack Squat
Split Squat
Box Squat
Pistol Squat
Step Up
Single-Leg Deadlift
Nordic Curl
Donkey Calf Raise
Seated Calf Raise
Machine Chest Press
Pec Deck
Machine Shoulder Press
Machine Row
Machine Pullover
Machine Bicep Curl
Machine Tricep Extension
Machine Leg Press
Machine Leg Curl
Machine Leg Extension
Hip Abductor
Hip Adductor
Ab Wheel Rollout
Hanging Knee Raise
Dragon Flag
Cable Woodchopper
Landmine Press
Landmine Row
T-Bar Row
Incline Curl
Concentration Curl
Zottman Curl
Drag Curl
Spider Curl
Tate Press
Close Grip Bench Press
Diamond Push-Up
Clap Push-Up
Deficit Push-Up
Ring Dip
TRX Row
TRX Push-Up
Chest Supported Row
Chest Supported Fly
Kneeling Squat
Jefferson Deadlift
Sissy Squat
Smith Machine Squat
Smith Machine Press
Smith Machine Row
Rack Pull
Pendlay Row
Meadows Row
Renegade Row
Cuban Press
Plate Front Raise
Plate Pinch
Wrist Curl
Reverse Wrist Curl
Suitcase Carry
Turkish Get-Up
Weighted Dip
Weighted Pull-Up
Weighted Push-Up
Weighted Lunge
Weighted Step Up
Band Pull Apart
Band Face Pull
Band Pull Down
Sled Push
Sled Drag
Kettlebell Swing
Kettlebell Clean
Kettlebell Snatch
Kettlebell Turkish Get-Up
Kettlebell Goblet Squat
Kettlebell Deadlift
Kettlebell Lunge
Medicine Ball Slam
Medicine Ball Throw
Medicine Ball Chest Pass
Medicine Ball Twist
Battle Rope Wave
Battle Rope Slam
Battle Rope Snakes
Battle Rope Circles
